image_id,file_name,class_name,true_label,split,image_path,stat_mean,stat_std_dev,stat_variance,stat_median,stat_range,stat_skewness,stat_kurtosis,stat_entropy,stat_energy,stat_contrast,stat_mean_abs_dev,stat_min_value,stat_max_value,stat_iqr,stat_percentile_25,stat_percentile_50,stat_percentile_75,stat_signal_to_noise,stat_coef_of_var,stat_autocorrelation,stat_shannon_entropy,stat_root_mean_square,stat_harmonic_mean,stat_geometric_mean,stat_std_error_mean,stat_median_abs_dev
covid_2020_01_24_919183_p27_132,2020.01.24.919183-p27-132.png,COVID,1,train,/Users/samehissa/Downloads/COVID-CT-Dataset-master/Images-processed/CT_COVID/2020.01.24.919183-p27-132.png,0.2828088966543873,0.3919442782468493,0.1536203172504436,0.0,1.5460599660873413,1.2061045209812915,0.3153195112892568,3.893251613107583,29.9009522274964,0.1536203172504436,0.3286230652994106,0.0,1.5460599660873413,0.4703986421227455,0.0,0.0,0.4703986421227455,0.72155199297049,1.3858979787535934,0.0341162429955336,5.616774794978603,0.4833230692583539,1.9104196206869958e-06,0.0004700081427451,0.0346433071244517,0.0
covid_2020_01_24_919183_p27_133,2020.01.24.919183-p27-133.png,COVID,1,train,/Users/samehissa/Downloads/COVID-CT-Dataset-master/Images-processed/CT_COVID/2020.01.24.919183-p27-133.png,0.2495949060685234,0.3568691912180972,0.1273556196406588,0.0041327578946948,1.3823904991149902,1.3602465603241427,0.834863452064432,3.874485955563695,24.27561430732977,0.1273556196406588,0.2947684210034822,0.0,1.3823904991149902,0.4554571285843849,0.0,0.0041327578946948,0.4554571285843849,0.6993997038995793,1.4297935676624862,-0.0116282489522191,5.589701673901015,0.4354919480036501,1.9999803561926346e-06,0.0005582888471672,0.0315430781383594,0.0041327578946948
covid_2020_01_24_919183_p27_134,2020.01.24.919183-p27-134.png,COVID,1,train,/Users/samehissa/Downloads/COVID-CT-Dataset-master/Images-processed/CT_COVID/2020.01.24.919183-p27-134.png,0.2368341315886937,0.3419876215529937,0.1169555332954736,0.0150363240391016,1.3216389417648315,1.396196155876332,0.8472031460770899,3.876712334336623,22.149880215148077,0.1169555332954736,0.2755530760150577,0.0,1.3216389417648315,0.3832214772701263,0.0,0.0150363240391016,0.3832214772701263,0.6925205011594062,1.4439963499303323,0.0607598513717797,5.59291365951586,0.4159879074935284,2.0644962599222283e-06,0.0006492739538658,0.0302277207852475,0.0150363240391016
covid_2020_01_24_919183_p27_135,2020.01.24.919183-p27-135.png,COVID,1,train,/Users/samehissa/Downloads/COVID-CT-Dataset-master/Images-processed/CT_COVID/2020.01.24.919183-p27-135.png,0.2585015836957609,0.373920809639705,0.1398167718816125,0.0745029188692569,1.819870352745056,1.775027279798793,2.856719575598442,3.9394608950590193,26.44989960381811,0.1398167718816125,0.284491546693971,0.0,1.819870352745056,0.3873993456363678,0.0,0.0745029188692569,0.3873993456363678,0.6913252370725365,1.4464933030344016,0.0869270734285493,5.683440696892982,0.4545765509293555,2.4150671877400786e-06,0.0015098903403198,0.0330502425153749,0.0745029188692569
covid_2020_02_10_20021584_p6_52_0,2020.02.10.20021584-p6-52%0.png,COVID,1,train,/Users/samehissa/Downloads/COVID-CT-Dataset-master/Images-processed/CT_COVID/2020.02.10.20021584-p6-52%0.png,0.217127415284267,0.3360826295200614,0.1129515338651189,0.0,1.58216392993927,1.6818862945482025,2.354974358912574,3.7923194584706312,20.492268586642616,0.1129515338651189,0.2671896304231325,0.0,1.58216392993927,0.3446507677435875,0.0,0.0,0.3446507677435875,0.6460517449015062,1.547859025909078,0.1224663018532263,5.471160476017635,0.4001197924786344,1.910411991639113e-06,0.0003898329497588,0.0297057882965802,0.0
covid_2020_02_10_20021584_p6_52_1,2020.02.10.20021584-p6-52%1.png,COVID,1,train,/Users/samehissa/Downloads/COVID-CT-Dataset-master/Images-processed/CT_COVID/2020.02.10.20021584-p6-52%1.png,0.2657129138660821,0.3555320224486005,0.1264030189863922,0.1079433374106884,1.6804794073104858,1.6049994042649138,2.4657030417953347,4.008403952806958,25.21681556244431,0.1264030189863922,0.2788932979608773,0.0,1.6804794073104858,0.4402126148343086,0.0,0.1079433374106884,0.4402126148343086,0.7473649340252108,1.338030648475696,0.0864762902270345,5.782904504409654,0.4438539980462,2.3272152031964783e-06,0.0013507962716055,0.0314248880002966,0.1079433374106884
covid_2020_02_10_20021584_p6_52_10,2020.02.10.20021584-p6-52%10.png,COVID,1,train,/Users/samehissa/Downloads/COVID-CT-Dataset-master/Images-processed/CT_COVID/2020.02.10.20021584-p6-52%10.png,0.3219033052992017,0.4763261472657457,0.2268865985690288,0.0,1.8384507894515991,1.532523425286602,1.450552170931532,3.847117180640928,42.30506707604224,0.2268865985690288,0.3769470919547757,0.0,1.8384507894515991,0.5283577293157578,0.0,0.0,0.5283577293157578,0.6758029794166026,1.4797180998903117,0.0151939512997489,5.550216878044735,0.5748985445551067,1.910437384021356e-06,0.0005005350575013,0.0421016810985088,0.0
covid_2020_02_10_20021584_p6_52_11,2020.02.10.20021584-p6-52%11.png,COVID,1,train,/Users/samehissa/Downloads/COVID-CT-Dataset-master/Images-processed/CT_COVID/2020.02.10.20021584-p6-52%11.png,0.282894958043471,0.4342749791036864,0.1885947574755072,0.0,1.8572092056274412,1.5452190103121,1.450891462594389,3.789026881610543,34.383912289526336,0.1885947574755072,0.3470020095919608,0.0,1.8572092056274412,0.4523544907569885,0.0,0.0,0.4523544907569885,0.6514174664399937,1.535110353705751,-0.0116636203800049,5.466410291709841,0.5182897980492425,1.828563985721624e-06,0.0003547932721591,0.0383848478279828,0.0
covid_2020_02_10_20021584_p6_52_12,2020.02.10.20021584-p6-52%12.png,COVID,1,train,/Users/samehissa/Downloads/COVID-CT-Dataset-master/Images-processed/CT_COVID/2020.02.10.20021584-p6-52%12.png,0.2170069432031596,0.3613677970655455,0.1305866847560053,0.0,1.78799569606781,1.9324296375186552,3.7195164529258777,3.6845275143069074,22.742873363761237,0.1305866847560053,0.2800948108688317,0.0,1.78799569606781,0.3566398099064827,0.0,0.0,0.3566398099064827,0.6005137824995959,1.6652361059583096,0.0683098013731498,5.315649572724853,0.4215195110008369,1.6842025753418922e-06,0.0001806318140935,0.0319407024759364,0.0
covid_2020_02_10_20021584_p6_52_13,2020.02.10.20021584-p6-52%13.png,COVID,1,train,/Users/samehissa/Downloads/COVID-CT-Dataset-master/Images-processed/CT_COVID/2020.02.10.20021584-p6-52%13.png,0.3545017090073088,0.4765353395291446,0.2270859298201571,0.0614492315798997,1.7820388078689575,1.1627260911445825,0.114935581868786,3.949400432250493,45.15294611318525,0.2270859298201571,0.4019904558158487,0.0,1.7820388078689575,0.6577388048171997,0.0,0.0614492315798997,0.6577388048171997,0.7439132750244911,1.344239893408581,-0.0636154083914673,5.697780417907852,0.593933827550898,2.0983516647775344e-06,0.0009319719684212,0.0421201712570114,0.0614492315798997
