epoch,train_epoch_loss,split,loss,task_accuracy,task_f1_macro,task_precision_macro,task_recall_macro,task_auc,neural_accuracy,neural_f1_macro,neural_precision_macro,neural_recall_macro,neural_auc,concept_accuracy,concept_f1_micro,concept_f1_macro,val_loss,val_task_accuracy,val_task_f1_macro,val_task_precision_macro,val_task_recall_macro,val_task_auc,val_neural_accuracy,val_neural_f1_macro,val_neural_precision_macro,val_neural_recall_macro,val_neural_auc,val_concept_accuracy,val_concept_f1_micro,val_concept_f1_macro
1,0.7441649746011805,train,0.6784720597443757,0.6941176470588235,0.633367839889579,0.8214285714285714,0.6596858638743456,0.8826911889739114,0.5505882352941176,0.3550834597875569,0.2752941176470588,0.5,0.527833713697588,0.4061764705882353,0.4061764705882353,0.3946581665195331,0.908076748251915,0.5508474576271186,0.4820703933747412,0.6288025889967637,0.557183908045977,0.6103448275862069,0.4915254237288136,0.32954545454545453,0.2457627118644068,0.5,0.4433908045977012,0.3919491525423729,0.3919491525423729,0.3748777111213659
2,0.49117354331193147,train,0.4330851259054961,0.8729411764705882,0.8673839681952662,0.8948637008760338,0.8610439880073388,0.9705105830760281,0.5505882352941176,0.3550834597875569,0.2752941176470588,0.5,0.7241240434957712,0.4520588235294118,0.4520588235294118,0.4395976767483111,0.9420127011835575,0.6016949152542372,0.5859649122807018,0.6259896729776249,0.6051724137931034,0.6856321839080459,0.4915254237288136,0.32954545454545453,0.2457627118644068,0.5,0.4485632183908046,0.4565677966101695,0.4565677966101695,0.439011082575439
3,0.296518721514278,train,0.2277471583198618,0.9788235294117648,0.9786146784374459,0.9783954756795422,0.9788450351277576,0.9975611938962725,0.5505882352941176,0.3550834597875569,0.2752941176470588,0.5,0.8158701391685685,0.4964705882352941,0.4964705882352941,0.4824299331341585,0.9725538901984692,0.6864406779661016,0.6864181570063923,0.686942766752948,0.6867816091954022,0.7583333333333333,0.4915254237288136,0.32954545454545453,0.2457627118644068,0.5,0.5166666666666666,0.4904661016949153,0.4904661016949153,0.46918863943232236
4,0.20472504916014495,train,0.1726614049187413,0.9952941176470588,0.9952407614781635,0.9957627118644068,0.9947643979057592,1.0,0.5505882352941176,0.3550834597875569,0.2752941176470588,0.5,0.9160737459166778,0.5117647058823529,0.5117647058823529,0.49347930893490294,1.0199530646204948,0.7033898305084746,0.7023423423423423,0.7083699151302312,0.7045977011494253,0.771551724137931,0.4915254237288136,0.32954545454545453,0.2457627118644068,0.5,0.6267241379310345,0.5233050847457628,0.5233050847457628,0.49748030378309316
5,0.16802732701654788,train,0.15879541856271248,0.9952941176470588,0.9952454468161275,0.9952454468161275,0.9952454468161275,0.9999552512641519,0.5505882352941176,0.3550834597875569,0.2752941176470588,0.5,0.938649483152101,0.5505882352941176,0.5505882352941176,0.5218163027946944,1.050391785800457,0.6949152542372882,0.6945642795513374,0.6949884792626728,0.6945402298850575,0.7916666666666666,0.4915254237288136,0.32954545454545453,0.2457627118644068,0.5,0.6543103448275863,0.5529661016949152,0.5529661016949152,0.5174806201550388
6,0.16394386192162833,train,0.16667053544962848,0.9858823529411764,0.9857745347436069,0.984771573604061,0.9871794871794872,1.0,0.5505882352941176,0.3550834597875569,0.2752941176470588,0.5,0.9748288360853805,0.5932352941176471,0.5932352941176471,0.5548001850786011,1.0726829282939434,0.711864406779661,0.7111175115207373,0.7126736111111112,0.7112068965517242,0.7876436781609195,0.4830508474576271,0.32571428571428573,0.24358974358974358,0.49137931034482757,0.6913793103448276,0.5911016949152542,0.5911016949152542,0.5395005560610656
7,0.14665445575007685,train,0.14360998846866466,1.0,1.0,1.0,1.0,1.0,0.5505882352941176,0.3550834597875569,0.2752941176470588,0.5,0.989886785698304,0.6314705882352941,0.6314705882352941,0.5863430078889229,1.2188430353999138,0.6440677966101694,0.6436583261432269,0.6458333333333333,0.6448275862068966,0.7727011494252872,0.4915254237288136,0.32954545454545453,0.2457627118644068,0.5,0.6706896551724137,0.625,0.625,0.5742221542695513
8,0.14799784510223954,train,0.13611026273833382,1.0,1.0,1.0,1.0,1.0,0.5505882352941176,0.3550834597875569,0.2752941176470588,0.5,0.9955475007831028,0.6720588235294118,0.6720588235294118,0.6052192699232797,1.3244366347789764,0.6694915254237288,0.669467787114846,0.6699741156169111,0.6698275862068965,0.7617816091954023,0.4915254237288136,0.32954545454545453,0.2457627118644068,0.5,0.6991379310344827,0.6451271186440678,0.6451271186440678,0.5827478424247702
9,0.13760916667955894,train,0.13262876647490043,1.0,1.0,1.0,1.0,1.0,0.6211764705882353,0.5077656842362724,0.7962025316455696,0.5785340314136126,0.9975388195283483,0.7008823529411765,0.7008823529411765,0.6235514520508215,1.3564733415842056,0.6694915254237288,0.669467787114846,0.6694915254237288,0.6695402298850575,0.7614942528735631,0.4915254237288136,0.32954545454545453,0.2457627118644068,0.5,0.6729885057471264,0.698093220338983,0.698093220338983,0.6274793517165941
10,0.13512355641082482,train,0.1301487899488873,1.0,1.0,1.0,1.0,1.0,0.8282352941176471,0.8144093701583428,0.8811074918566775,0.8089005235602094,1.0,0.7414705882352941,0.7414705882352941,0.6624566931801819,1.5611750781536102,0.6440677966101694,0.6431451612903225,0.6471445221445222,0.6451149425287357,0.7379310344827585,0.5677966101694916,0.4777401718302525,0.7660550458715596,0.575,0.6330459770114942,0.7266949152542372,0.7266949152542372,0.6551407744719895
