filepath,filename,split,class_name,label,source,source_filepath
/Users/samehissa/Downloads/COVID-CT-Dataset-master/Images-processed/CT_COVID/2020.01.24.919183-p27-132.png,2020.01.24.919183-p27-132.png,train,COVID,1,original,
/Users/samehissa/Downloads/COVID-CT-Dataset-master/Images-processed/CT_COVID/2020.01.24.919183-p27-133.png,2020.01.24.919183-p27-133.png,train,COVID,1,original,
/Users/samehissa/Downloads/COVID-CT-Dataset-master/Images-processed/CT_COVID/2020.01.24.919183-p27-134.png,2020.01.24.919183-p27-134.png,train,COVID,1,original,
/Users/samehissa/Downloads/COVID-CT-Dataset-master/Images-processed/CT_COVID/2020.01.24.919183-p27-135.png,2020.01.24.919183-p27-135.png,train,COVID,1,original,
/Users/samehissa/Downloads/COVID-CT-Dataset-master/Images-processed/CT_COVID/2020.02.10.20021584-p6-52%0.png,2020.02.10.20021584-p6-52%0.png,train,COVID,1,original,
/Users/samehissa/Downloads/COVID-CT-Dataset-master/Images-processed/CT_COVID/2020.02.10.20021584-p6-52%1.png,2020.02.10.20021584-p6-52%1.png,train,COVID,1,original,
/Users/samehissa/Downloads/COVID-CT-Dataset-master/Images-processed/CT_COVID/2020.02.10.20021584-p6-52%10.png,2020.02.10.20021584-p6-52%10.png,train,COVID,1,original,
/Users/samehissa/Downloads/COVID-CT-Dataset-master/Images-processed/CT_COVID/2020.02.10.20021584-p6-52%11.png,2020.02.10.20021584-p6-52%11.png,train,COVID,1,original,
/Users/samehissa/Downloads/COVID-CT-Dataset-master/Images-processed/CT_COVID/2020.02.10.20021584-p6-52%12.png,2020.02.10.20021584-p6-52%12.png,train,COVID,1,original,
/Users/samehissa/Downloads/COVID-CT-Dataset-master/Images-processed/CT_COVID/2020.02.10.20021584-p6-52%13.png,2020.02.10.20021584-p6-52%13.png,train,COVID,1,original,
/Users/samehissa/Downloads/COVID-CT-Dataset-master/Images-processed/CT_COVID/2020.02.10.20021584-p6-52%14.png,2020.02.10.20021584-p6-52%14.png,train,COVID,1,original,
/Users/samehissa/Downloads/COVID-CT-Dataset-master/Images-processed/CT_COVID/2020.02.10.20021584-p6-52%15.png,2020.02.10.20021584-p6-52%15.png,train,COVID,1,original,
/Users/samehissa/Downloads/COVID-CT-Dataset-master/Images-processed/CT_COVID/2020.02.10.20021584-p6-52%2.png,2020.02.10.20021584-p6-52%2.png,train,COVID,1,original,
/Users/samehissa/Downloads/COVID-CT-Dataset-master/Images-processed/CT_COVID/2020.02.10.20021584-p6-52%3.png,2020.02.10.20021584-p6-52%3.png,train,COVID,1,original,
