concept_score_bilateral_involvement,shannon_entropy,concept_score_multilobar_distribution,concept_score_crazy_paving_pattern,concept_score_absence_of_lobar_consolidation,concept_score_localized_or_diffuse_presentation,concept_score_ground_glass_appearance,med_task_prob_covid,coef_of_var,mean_abs_dev,entropy,med_neural_prob_covid,label
0.6616187,5.616774794978603,0.82091856,0.46377796,0.5503603,0.7245854,0.7449951,0.9999491,1.3858979787535934,0.3286230652994106,3.893251613107583,0.46096155,1
0.6581097,5.589701673901015,0.80227554,0.4661141,0.5474149,0.70855975,0.72536993,0.99973375,1.4297935676624862,0.2947684210034822,3.874485955563695,0.45979664,1
0.6632518,5.59291365951586,0.82493323,0.46671897,0.55485904,0.73617953,0.74574596,0.99996376,1.4439963499303323,0.2755530760150577,3.876712334336623,0.4565551,1
0.6563231,5.683440696892982,0.8073859,0.46706787,0.5495526,0.7184491,0.72939765,0.99968183,1.4464933030344016,0.284491546693971,3.9394608950590193,0.45802835,1
0.65456134,5.471160476017635,0.8118608,0.46640068,0.5460903,0.716652,0.73397803,0.9999713,1.547859025909078,0.2671896304231325,3.7923194584706312,0.4609862,1
0.6539971,5.782904504409654,0.8155981,0.46306306,0.544837,0.71631753,0.74116135,0.99994266,1.338030648475696,0.2788932979608773,4.008403952806958,0.46400124,1
0.54569143,5.550216878044735,0.761154,0.3728298,0.56296194,0.67540514,0.6468391,0.9923504,1.4797180998903117,0.3769470919547757,3.847117180640928,0.46261108,1
0.5567258,5.466410291709841,0.7598568,0.39027572,0.5730763,0.6605169,0.62360543,0.9884404,1.535110353705751,0.3470020095919608,3.789026881610543,0.46008807,1
0.67808855,5.315649572724853,0.83889836,0.46360224,0.5584719,0.7409643,0.75805527,0.9999902,1.6652361059583096,0.2800948108688317,3.6845275143069074,0.45715037,1
0.6384353,5.697780417907852,0.7701236,0.46913907,0.5356087,0.6763526,0.69188565,0.99976224,1.344239893408581,0.4019904558158487,3.949400432250493,0.4643913,1
0.6448748,5.669320177745629,0.79415166,0.4677599,0.5400422,0.70047027,0.7177039,0.9996251,1.3968800699113593,0.3190400432740716,3.9296732970239896,0.462312,1
0.6449603,5.606461966339987,0.8001455,0.46762574,0.5466323,0.71646726,0.7246214,0.9998952,1.4505122673759578,0.3672551138495237,3.886103305013126,0.45870084,1
0.6663207,5.533133020968505,0.83131564,0.46149397,0.5514188,0.730515,0.7546644,0.9999429,1.5260465774973508,0.2331514559036804,3.8352755532754506,0.46149397,1
0.6161863,5.56321083527456,0.7664112,0.4619688,0.5316529,0.674381,0.6973689,0.9989041,1.44544687138126,0.3255837466615503,3.856123905459099,0.46834707,1
0.69376016,5.613173760986509,0.8568622,0.46251613,0.5658832,0.75619555,0.77588105,0.9999951,1.44442878600763,0.3076809199894796,3.890755566548863,0.45497862,1
0.70629644,5.616432944662131,0.8814602,0.45702833,0.57673603,0.7860093,0.80236924,0.9999982,1.4492817568404566,0.2719846057534596,3.893014660524547,0.45178124,1
0.6916254,5.657931478025356,0.86008906,0.4619458,0.56616116,0.76147234,0.7782897,0.9999964,1.377153919371502,0.3147726496072209,3.921779251922639,0.45432436,1
0.6312161,5.616927543315782,0.7792632,0.4653206,0.53468853,0.69015217,0.71337706,0.99964046,1.4358889524353784,0.2759752848439802,3.893357490186833,0.46581215,1
0.6532716,5.363438714853675,0.80071145,0.46814883,0.5461478,0.7093929,0.72325593,0.99992275,1.6307895060583453,0.2818111527816,3.7176524234348793,0.45949757,1
0.6248575,5.700994097328181,0.7822517,0.45134598,0.53529346,0.6752657,0.69414705,0.9968453,1.3586107104015217,0.3396492286888133,3.9516279850799183,0.46675247,1
0.5716505,5.540618478906021,0.7651532,0.39756444,0.5378777,0.69247186,0.66377544,0.99345714,1.5072168088790032,0.3203757143965049,3.840464077340042,0.4608953,1
0.61993355,5.390487149568579,0.78148144,0.44619855,0.5343543,0.68025213,0.68486965,0.9990018,1.604993092932282,0.2775583239945263,3.736400969696076,0.4698796,1
0.61071175,5.233402267907577,0.75225997,0.46783495,0.52761006,0.6737259,0.6941767,0.998814,1.7757381038494102,0.1984332575516418,3.62751802686416,0.4695875,1
0.6199555,5.679980285227087,0.727722,0.4768209,0.5296775,0.6573162,0.6568775,0.9950831,1.4053371145034892,0.2128233568155337,3.937062320469228,0.46878943,1
0.61319184,5.610096501114839,0.78482056,0.43271065,0.5219604,0.69133127,0.70771474,0.99660206,1.4720743543697832,0.2058174359790427,3.888622572544965,0.45995966,1
