shannon_entropy,coef_of_var,entropy,label
5.616774794978603,1.3858979787535934,3.8932516131075827,1
5.589701673901015,1.4297935676624862,3.874485955563695,1
5.59291365951586,1.4439963499303323,3.876712334336623,1
5.683440696892982,1.4464933030344016,3.9394608950590193,1
5.471160476017635,1.547859025909078,3.7923194584706312,1
5.782904504409654,1.3380306484756959,4.008403952806958,1
5.5502168780447345,1.4797180998903117,3.847117180640928,1
5.466410291709841,1.5351103537057513,3.7890268816105426,1
5.315649572724853,1.6652361059583096,3.6845275143069074,1
5.697780417907852,1.344239893408581,3.949400432250493,1
5.669320177745629,1.3968800699113593,3.9296732970239896,1
5.606461966339987,1.4505122673759578,3.886103305013126,1
5.533133020968505,1.5260465774973508,3.8352755532754506,1
5.56321083527456,1.44544687138126,3.8561239054590994,1
5.613173760986509,1.44442878600763,3.890755566548863,1
5.616432944662131,1.4492817568404566,3.893014660524547,1
5.657931478025356,1.377153919371502,3.9217792519226387,1
5.616927543315782,1.4358889524353784,3.8933574901868333,1
5.363438714853675,1.6307895060583453,3.7176524234348793,1
5.700994097328181,1.3586107104015217,3.9516279850799183,1
5.540618478906021,1.5072168088790032,3.840464077340042,1
5.390487149568579,1.604993092932282,3.736400969696076,1
5.233402267907577,1.7757381038494102,3.62751802686416,1
5.679980285227087,1.4053371145034892,3.9370623204692277,1
5.610096501114839,1.4720743543697832,3.888622572544965,1
5.567654163230383,1.4799495761569077,3.859203785703981,1
5.560411041636629,1.4802272555769704,3.8541832363928172,1
5.396130319829876,1.626505211448815,3.7403125172521126,1
5.754909261860124,1.322311312739022,3.9889991293646596,1
5.590512535623571,1.4155507538131293,3.875048002080507,1
5.602426272870921,1.4454894470161859,3.8833059754634403,1
5.467459645718906,1.539771184576211,3.7897542383833356,1
5.472158083217433,1.5773627683807787,3.7930109470884776,1
5.620062958853088,1.414936404848352,3.8955307946264024,1
5.682756209317976,1.3680155174431214,3.9389864444262765,1
5.468663439926571,1.5551363304067154,3.7905886449443544,1
5.581307709301317,1.4707223497773865,3.868667702667693,1
5.758823358424879,1.3426591325079757,3.9917121743629593,1
5.683263571719779,1.3288209227213847,3.9393381212446075,1
5.473256329502464,1.5476152695916456,3.793772193404506,1
5.5987239804941025,1.474644658052339,3.880739741940841,1
5.452626821798891,1.5792487375857256,3.7794729083034353,1
5.642969448366419,1.4219851538044588,3.911408363249091,1
5.767105392404995,1.3530573172723168,3.9974528428655773,1
5.630338537203881,1.4381010803184961,3.9026532827888767,1
5.785159153961045,1.297938801064573,4.009966756786655,1
5.759185432997817,1.2920497425231723,3.991963145332344,1
5.62044603325064,1.4322300231075336,3.895796321565009,1
5.518785997305713,1.5428922326278995,3.825330954274158,1
5.581233022676045,1.5007443526831512,3.8686159338439605,1
5.670585605149235,1.4036032161233687,3.9305504244610034,1
